id_str,created_at,text,screen_name,rtfrom,cluster
1576014287654354944,Sat Oct 01 01:01:01 +0000 2022,"""A urna eletrônica é motivo de grande orgulho nacional"", disse Rodrigo Pacheco, o senador que é motivo de grande constrangimento nacional.",10Juscelino,Rconstantino,0
1582568741778624512,Wed Oct 19 03:06:05 +0000 2022,Nunca esqueçam que o Danones foi o deputado que imprimiu o voto para provar que votou contra o voto impresso. 🤣 https://t.co/TpvknVls0y,10Juscelino,bernardokuster2,0
1576220092874252288,Sat Oct 01 14:38:49 +0000 2022,"""A urna eletrônica é motivo de grande orgulho nacional"", disse Rodrigo Pacheco, o senador que é motivo de grande constrangimento nacional.",10Kamisa10,Rconstantino,0
1576970309155966979,Mon Oct 03 16:19:55 +0000 2022,"A questão não é se há fraude em nosso sistema eleitoral, porque ele é inauditável. A questão é jurídica: sem voto impresso não há materialidade do voto e a contagem PÚBLICA é impossível. Por esta razão, as democracias mais sólidas do mundo REJEITARAM o sistema 100% eletrônico.",10Kamisa10,bernardokuster2,0
1576974668606492686,Mon Oct 03 16:37:14 +0000 2022,"Pautas urgentes no novo Congresso para 2023:
- Fazer lei da ficha limpa valer de vez
- Colocar a lei do voto impresso, de vez
- Prisão em 2a instância
- Proibição do comunismo no Brasil
- Lei do STF, que só Juízes Federais com experiência podem fazer parte da corte.",10Kamisa10,PU2KOM,0
1578208649024966656,Fri Oct 07 02:20:38 +0000 2022,Se Bolsonaro for reeleito é certa a implementação do voto impresso auditável a partir das eleições municipais de 2024. Mais uma explicação para o desespero da esquerdalha.,10Kamisa10,EdRaposo_,0
1583849915695841280,Sat Oct 22 15:57:01 +0000 2022,"ATENÇÃO PATRIOTAS
Se preparem para grandes emoções no próximo mandato do Mito. Teremos os impeachments do Xandão, Barroso e Fachin; revogação da PEC da bengala; liberação das armas; voto impresso; fim da saidinha; trabalho para os presos, etc",10Kamisa10,CollangeFilho,0
1576744374037204993,Mon Oct 03 01:22:07 +0000 2022,"1. Ministros do STF fizeram lobby no congresso contra o voto impresso auditável

2. Barroso disseminou a MENTIRA de que o voto impresso seria levado pra casa

3. STF censurou perfis e jornais conservadores

Tudo vem sendo preparado há tempos.",10Zico1981,oProprioBrunao,0
1577464090645393408,Wed Oct 05 01:02:01 +0000 2022,"Está comovente a profissão de fé dos optimixtas na urna do Butão. É isso aí: apesar de defasado, violável (violado) e inauditável, o sistema é confiável porque está em ótimas mãos - as mãos que barraram o voto auditável e descondenaram o “favorito”. Para de se preocupar à toa.",10Zico1981,GFiuza_Oficial,0
1582205221014409217,Tue Oct 18 03:01:35 +0000 2022,Nunca esqueçam que o Danones foi o deputado que imprimiu o voto para provar que votou contra o voto impresso. 🤣 https://t.co/TpvknVls0y,10Zico1981,bernardokuster2,0
1585338884061560833,Wed Oct 26 18:33:38 +0000 2022,"Pergunta ao UOL: 
A urna eletrônica é urna ou software que grava votos/ dados  que são consolidados numa sala cofre? 
Inacreditável.",10_naas,fabiowoficial,0
1585677280235356173,Thu Oct 27 16:58:18 +0000 2022,"HOJE TEM MAIS UMA RECEITA NO CANAL HIPÓCRITAS 👨🏻‍🍳

O primeiro vídeo ""DEPOIS DA CENSURA SÓ CULINÁRIA"" foi um sucesso, a galera amou a receita de Lula e Polvo que trouxemos! (Será que alguém fez em casa? Acho que não, né? 🤢) +++ #fraudeeleitoral #fraudenasradios",10_naas,CanalHipocritas,0
1585678484352925705,Thu Oct 27 17:03:05 +0000 2022,"Já avisamos que tem muita gente envolvida nesse esquema... Quer dizer, muitos ingredientes nessa receita. Mas calma, vai dar certo!

Sem mais delongas, bora pra polêmica... Receita! 🥧

‼️ RECEITA DE HOJE - FRAUDE ELEITORAL NAS RÁDIOS #fraudeeleitoral

https://t.co/9ehbqrKcuE",10_naas,CanalHipocritas,0
1585758366751760384,Thu Oct 27 22:20:31 +0000 2022,"Enfim, comentamos que íamos trazer mais uma receita da Venezuela: CACHORRO... Quente! Mas infelizmente ficamos sem matéria prima, porque está sendo muito consumido! 😢

Então, na receita de hoje trouxemos o Rolo de Careca... BOLO DE CANECA! 🥚 + #fraudeeleitoral #fraudenasradios",10_naas,CanalHipocritas,0
1576042164920135685,Sat Oct 01 02:51:48 +0000 2022,"""A urna eletrônica é motivo de grande orgulho nacional"", disse Rodrigo Pacheco, o senador que é motivo de grande constrangimento nacional.",13Danreis,Rconstantino,0
1576961627038965760,Mon Oct 03 15:45:25 +0000 2022,"A questão não é se há fraude em nosso sistema eleitoral, porque ele é inauditável. A questão é jurídica: sem voto impresso não há materialidade do voto e a contagem PÚBLICA é impossível. Por esta razão, as democracias mais sólidas do mundo REJEITARAM o sistema 100% eletrônico.",13Danreis,bernardokuster2,0
1577475778723258368,Wed Oct 05 01:48:28 +0000 2022,"Está comovente a profissão de fé dos optimixtas na urna do Butão. É isso aí: apesar de defasado, violável (violado) e inauditável, o sistema é confiável porque está em ótimas mãos - as mãos que barraram o voto auditável e descondenaram o “favorito”. Para de se preocupar à toa.",13Danreis,GFiuza_Oficial,0
1578379838368382976,Fri Oct 07 13:40:53 +0000 2022,Se Bolsonaro for reeleito é certa a implementação do voto impresso auditável a partir das eleições municipais de 2024. Mais uma explicação para o desespero da esquerdalha.,13Danreis,EdRaposo_,0
1578434603815079936,Fri Oct 07 17:18:30 +0000 2022,"Fizeram teste com voto impresso e funcionou. Quem diria, hein?",13Danreis,roxmo,0
1585372894317928449,Wed Oct 26 20:48:47 +0000 2022,"Pergunta ao UOL: 
A urna eletrônica é urna ou software que grava votos/ dados  que são consolidados numa sala cofre? 
Inacreditável.",13Danreis,fabiowoficial,0
1576037144992182272,Sat Oct 01 02:31:51 +0000 2022,"""A urna eletrônica é motivo de grande orgulho nacional"", disse Rodrigo Pacheco, o senador que é motivo de grande constrangimento nacional.",13atae,Rconstantino,0
1577599247221858305,Wed Oct 05 09:59:05 +0000 2022,"Está comovente a profissão de fé dos optimixtas na urna do Butão. É isso aí: apesar de defasado, violável (violado) e inauditável, o sistema é confiável porque está em ótimas mãos - as mãos que barraram o voto auditável e descondenaram o “favorito”. Para de se preocupar à toa.",13atae,GFiuza_Oficial,0
1582575607245725697,Wed Oct 19 03:33:22 +0000 2022,Nunca esqueçam que o Danones foi o deputado que imprimiu o voto para provar que votou contra o voto impresso. 🤣 https://t.co/TpvknVls0y,13atae,bernardokuster2,0
1576004595469660160,Sat Oct 01 00:22:30 +0000 2022,"""A urna eletrônica é motivo de grande orgulho nacional"", disse Rodrigo Pacheco, o senador que é motivo de grande constrangimento nacional.",1705_Dudinhafor,Rconstantino,0
1576993764303781889,Mon Oct 03 17:53:07 +0000 2022,"A questão não é se há fraude em nosso sistema eleitoral, porque ele é inauditável. A questão é jurídica: sem voto impresso não há materialidade do voto e a contagem PÚBLICA é impossível. Por esta razão, as democracias mais sólidas do mundo REJEITARAM o sistema 100% eletrônico.",1705_Dudinhafor,bernardokuster2,0
1577004596710756352,Mon Oct 03 18:36:09 +0000 2022,"TSE tinha tudo preparado para eleições tranquilas e rápidas e que o registro do voto impresso era retrocesso e atrasaria o tal brilhante sistema. Alguém preocupou demais em fustigar empresário por causa de emoji de joinha, no Zap, e esqueceu de algo importante: gestão.",1705_Dudinhafor,PeKelmonApoio,0
1577587936429850625,Wed Oct 05 09:14:08 +0000 2022,"Está comovente a profissão de fé dos optimixtas na urna do Butão. É isso aí: apesar de defasado, violável (violado) e inauditável, o sistema é confiável porque está em ótimas mãos - as mãos que barraram o voto auditável e descondenaram o “favorito”. Para de se preocupar à toa.",1705_Dudinhafor,GFiuza_Oficial,0
1578270410541367297,Fri Oct 07 06:26:03 +0000 2022,"Fizeram teste com voto impresso e funcionou. Quem diria, hein?",1705_Dudinhafor,roxmo,0
1582284087036764161,Tue Oct 18 08:14:58 +0000 2022,Nunca esqueçam que o Danones foi o deputado que imprimiu o voto para provar que votou contra o voto impresso. 🤣 https://t.co/TpvknVls0y,1705_Dudinhafor,bernardokuster2,0
1584875567740252160,Tue Oct 25 11:52:35 +0000 2022,"Xandão quer provas impressas pra denúncia das fraudes de inserções de rádios, mas eu não posso ter meu voto impresso.",1705_Dudinhafor,LucianaSV29,0
1585641321418887168,Thu Oct 27 14:35:25 +0000 2022,"HOJE TEM MAIS UMA RECEITA NO CANAL HIPÓCRITAS 👨🏻‍🍳

O primeiro vídeo ""DEPOIS DA CENSURA SÓ CULINÁRIA"" foi um sucesso, a galera amou a receita de Lula e Polvo que trouxemos! (Será que alguém fez em casa? Acho que não, né? 🤢) +++ #fraudeeleitoral #fraudenasradios",1705_Dudinhafor,CanalHipocritas,0
1576045671496683520,Sat Oct 01 03:05:44 +0000 2022,"""A urna eletrônica é motivo de grande orgulho nacional"", disse Rodrigo Pacheco, o senador que é motivo de grande constrangimento nacional.",1718Ritamaria,Rconstantino,0
1576968869717356544,Mon Oct 03 16:14:11 +0000 2022,"A questão não é se há fraude em nosso sistema eleitoral, porque ele é inauditável. A questão é jurídica: sem voto impresso não há materialidade do voto e a contagem PÚBLICA é impossível. Por esta razão, as democracias mais sólidas do mundo REJEITARAM o sistema 100% eletrônico.",1718Ritamaria,bernardokuster2,0
1577465929780277248,Wed Oct 05 01:09:20 +0000 2022,"Está comovente a profissão de fé dos optimixtas na urna do Butão. É isso aí: apesar de defasado, violável (violado) e inauditável, o sistema é confiável porque está em ótimas mãos - as mãos que barraram o voto auditável e descondenaram o “favorito”. Para de se preocupar à toa.",1718Ritamaria,GFiuza_Oficial,0
1578195207278841859,Fri Oct 07 01:27:13 +0000 2022,Se Bolsonaro for reeleito é certa a implementação do voto impresso auditável a partir das eleições municipais de 2024. Mais uma explicação para o desespero da esquerdalha.,1718Ritamaria,EdRaposo_,0
1582434904377217024,Tue Oct 18 18:14:16 +0000 2022,Nunca esqueçam que o Danones foi o deputado que imprimiu o voto para provar que votou contra o voto impresso. 🤣 https://t.co/TpvknVls0y,1718Ritamaria,bernardokuster2,0
1585371818562826240,Wed Oct 26 20:44:30 +0000 2022,"Pergunta ao UOL: 
A urna eletrônica é urna ou software que grava votos/ dados  que são consolidados numa sala cofre? 
Inacreditável.",1718Ritamaria,fabiowoficial,0
1576183592455020544,Sat Oct 01 12:13:47 +0000 2022,"""A urna eletrônica é motivo de grande orgulho nacional"", disse Rodrigo Pacheco, o senador que é motivo de grande constrangimento nacional.",1950_moreno,Rconstantino,0
1576657886910218242,Sun Oct 02 19:38:27 +0000 2022,SE URNA ELETRONICA É TÃO CONFIÁVEL PORQUE JA FORAM TROCADAS MAIS SE 1420 URNAS ATE POR VOLTA DAS 13 HORAS E AS QUE ENTRARAM SÃO CONFIÁVEL.,1950_moreno,Freitas78394873,0
1576956153665241088,Mon Oct 03 15:23:40 +0000 2022,"O povo do nordeste está sendo execrado,porém essa pernabucana da um depoimento forte! São muitas coisas estranhas que aconteceram em determinados URNAS o número de votos de BOLSONARO foi apenas 129 em todas as urnas!  VOTO IMPRESSO JÁ SÓ ASSIM VAMOS GARANTIR DIREITO DE VOTO https://t.co/EJ8RjT4Zqn",1950_moreno,KMaxsteell,0
